web-scraper-order,web-scraper-start-url,name,name-href,imgs-src,desc,sunlight,soil,maintenance,characteristics
1520335624-7272,http://www.gardening.cornell.edu/homegardening/scenee139.html,Lavender,http://www.gardening.cornell.edu/homegardening/scene9108.html,images/garden/photos_garden/Lamiaceae/Lavandula/angustifolia/whole_thumb.jpg,"A fragrant addition to the perennial border, herb garden, or rock garden, this shrubby perennial can be also be pruned into an informal hedge or used as edging.  It has showy purple or sometimes pinkish flowers and the gray-green foliage remains attractive well into winter.",full sun,tolerates droughty soil,"Deadheading after first bloom may encourage plants to rebloom.  This is also a good time to shape plants.  But avoid pruning after late summer until new growth begins the following spring.  Cut back heavily (to about 6 inches) every 2 or 3 years to keep plants from getting straggly.Compared with other shrubs, lavender is not a long-lived plant, so it is best to replace old plants about every ten years.For low hedges there are many dwarf and semi-dwarf cultivars to choose from that respond well to trimming.



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to the Mediterranean region.




	evergreen



	 - Semi-evergreen, with foliage lasting well into winter.



	fragrant



	 - All parts are strongly aromatic with a pleasant, penetrating balsamic scent.




	



	







	Attracts:



	



	beneficial insects



	 - Bees.  



	butterflies



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - Flowers retain their color when dried. Hang bunches in a well-ventilated area to dry."
1520335674-7296,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Hosta, Lance Leaf",http://www.gardening.cornell.edu/homegardening/scene31ad.html,images/garden/photos_garden/Liliaceae/Hosta/lancifolia/whole_thumb.jpg,"Has a somewhat plain appearance, but is reliable and hardy.  Leaves are long, pointed, and glossy, and plants bear purple flowers in late summer that last into fall.",part shade,requires well-drained soil,"Hostas are generally easy to take care of as long as they are given partial shade and lots of moisture. 



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Japan"
1520335684-7301,http://www.gardening.cornell.edu/homegardening/scenee139.html,Heliotrope,http://www.gardening.cornell.edu/homegardening/scene815a.html,images/garden/photos_garden/Boraginaceae/Heliotropium/arborescens/whole_thumb.jpg,"Bring old fashioned romance to your garden with this bushy annual bearing clusters of tiny, strongly perfumed purple, blue or white flowers.",full sun,requires well-drained soil,"Keep the soil moist but not soggy. Do not let potted plants dry out thoroughly. Fertilize monthly. Deadhead to prolong flowering.



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - South America



	



	fragrant



	 - The flowers are reknowned for their delicate vanilla-like fragrance.



	



	







	Attracts:



	



	



	butterflies



	



	



	



	



	Special uses:"
1520335633-7276,http://www.gardening.cornell.edu/homegardening/scenee139.html,Kiss me over the garden gate,http://www.gardening.cornell.edu/homegardening/sceneb320.html,images/garden/photos_garden/Polygonaceae/Persicaria/orientalis/whole_thumb.jpg,"An old cottage garden favorite, this tall, self-seeding annual has white- to rose-colored, bell-shaped flowers borne on pendant spikes from midsummer to frost.  As the name implies, it looks great against a white picket fence.",full sun,tolerates low fertility,"Do not fertilize.  Prefers soils with modest fertility.



	



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Readily self-sows.



		non-invasive



		 - May naturalize in some areas.  Considered invasive in parts of the Southeast.



		



	



	not native to North America



	 - Native to China.



	



	



	



	



	



	Special uses:



	



	



	



	



	



	direct-seeding"
1520335534-7228,http://www.gardening.cornell.edu/homegardening/scenee139.html,Pyrethrum Daisy,http://www.gardening.cornell.edu/homegardening/scenecf20.html,images/garden/photos_garden/Asteraceae/Tanacetum/coccineum/flower_thumb.jpg,"With delicate, fernlike foliage and showy daisy-like blooms in shades of white, red, purple and pink, Painted Daisy adds striking colors to the garden in midsummer.",full sun,requires well-drained soil,"Pinch plants in spring when they are 6 to 8"" tall to promote bushiness. Cut back the plants after their first bloom to encourage a second blooming. May require staking.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to southwestern Asia.



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335688-7303,http://www.gardening.cornell.edu/homegardening/scenee139.html,Gomphrena,http://www.gardening.cornell.edu/homegardening/scene6590.html,images/garden/photos_garden/Amaranthaceae/Gomphrena/globosa/whole_thumb.jpg,"Compact and colorful, Gomphrena produces globular flowerheads that brighten the garden and are great for fresh-cut and dried floral arrangements.  Excellent choice for dry, sunny locations.",full sun,tolerates droughty soil,"Water in very dry conditions.



	



	



	","Tolerates:



	



	



		



		



	



	heat



	



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Central and South America, Australia



	



	



	



	







	Attracts:



	



	



	butterflies



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - The floral heads make very good dried flowers, simply hang them upside down in a well-ventilated place, and you will have color to enjoy all winter.



	



	



	



	



	direct-seeding"
1520336567-7333,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Daylily, Tawny",http://www.gardening.cornell.edu/homegardening/scene9e98.html,images/garden/photos_garden/Liliaceae/Hemerocallis/fulva/whole_thumb.jpg,"Valued for its showy blooms in shades ranging from yellow to orange to rose, the flowers are marked with midrib and throat coloration, and often with brownish eyes.",full sun,requires well-drained soil,"Remove faded flwoers.



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Spreads by extensive rhizomes.



		non-invasive



		 - Naturalized in much of North America, but seeds are sterile and plants can only ""escape"" into the wild by discarded root systems.  



		



	



	not native to North America



	 - Native to Asia, but naturalized in much of North America.



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	



	



	







	



		



	



	naturalistic garden"
1520335481-7202,http://www.gardening.cornell.edu/homegardening/scenee139.html,Statice,http://www.gardening.cornell.edu/homegardening/scene400a.html,images/garden/photos_garden/Plumbaginaceae/Limonium/sinuatum/whole_thumb.jpg,"One of the most popular dried flowers available, Statice’s vivid, papery blooms provide color both in the garden and in home decorating projects.",full sun,tolerates droughty soil,"Pinch back for bushier plants.  Do not overwater.



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Mediterranean



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - Cut the flowers when in full bloom and hang in a warm, dry area for drying."
1520335559-7240,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Pepper, Ornamental",http://www.gardening.cornell.edu/homegardening/sceneff0b.html,images/garden/photos_garden/Solanaceae/Capsicum/annuum/(ornamental)/whole_thumb.jpg,"Turn up the heat and add some spice to your garden with the colorful yellow, red and orange fruits of the ornamental pepper.",full sun,requires well-drained soil,"May require staking.



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Tropical Americas



	



	



	bears ornamental fruit



	 - The plants bear brightly colored fruits in vivid shades of yellow, red and orange. The fruits are green initially, and attain their mature colors with time. The fruits appear in later summer through f



	



	



	Special uses:



	



	



	



	



	



	edible landscaping - The fruits can be eaten, but they are very hot and are generally used solely for ornamental purposes."
1520336507-7332,http://www.gardening.cornell.edu/homegardening/scenee139.html,Delphinium (Belladonna Group),http://www.gardening.cornell.edu/homegardening/scene09de.html,images/garden/photos_garden/Ranunculaceae/Delphinium/sp/Belladonna_Group/flower_thumb.jpg,"This 3- to 4-foot tall, upright perennial bears beautiful bell-like blooms in shades of blue or white in summer.  Has loose, branching flower spikes, unlike the taller, denser spikes of the Elatum delphiniums, but is easier to grow and longer lived.",full sun,requires well-drained soil,"May require staking. Protect from strong winds. If diseases are a problem, thin to 3 to 5 stems per plant when plants are about 6 inches tall.  Do not pinch back later or plants may not flower.Remove faded flower spikes back to nearest new lateral flower spike. When blooming has ceased in the early summer, cut plants back to basal foliage to encourage rebloom in the fall. Cut back for the winter in fall or wait until spring.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection, though originally native to Europe



	



	



	bears ornamental fruit



	 - Seedheads used in arrangements.



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - The seedheads can be allowed to dry on the plant and then cut and used for arrangments."
